from,to,weight
BP,BWE,1
BP,CC,1
BP,CW,1
BP,DB,1
BP,DH,1
BP,DY,1
BP,ES,1
BP,GK,1
BP,HW,1
BP,INGLOURIOUS,1
BP,JC,1
BP,KR,1
BP,LDC,1
BP,LP,1
BP,MHA,1
BP,MP,1
BP,ONCE,1
BP,QT,1
BP,SLJ,1
BP,SMI,1
BP,ZB,1
BW,DDV,1
BW,LB,1
BW,MD,1
BW,PULP,1
BW,RM,1
BW,SLJ,1
BW,TR,1
BW,UT,1
BWE,BP,1
BWE,CC,1
BWE,CW,1
BWE,DB,1
BWE,DEATH,1
BWE,EA,1
BWE,ES,4
BWE,FS,1
BWE,GA,1
BWE,GC,1
BWE,GF,1
BWE,GK,1
BWE,HA,1
BWE,HATEFUL,1
BWE,HW,6
BWE,INGLOURIOUS,1
BWE,JS,1
BWE,KBONE,1
BWE,KBTWO,1
BWE,KK,1
BWE,KR,2
BWE,LB,2
BWE,LP,1
BWE,MP,1
BWE,MS,1
BWE,PS,1
BWE,QT,1
BWE,RC,1
BWE,RG,1
BWE,RR,1
BWE,SLJ,4
BWE,SMI,3
BWE,SSE,1
BWE,STS,2
BWE,TR,1
BWE,UT,2
BWE,ZB,2
CC,BP,1
CC,BWE,1
CC,CW,1
CC,DH,1
CC,DJANGO,1
CC,DY,1
CC,GA,1
CC,GC,1
CC,HW,1
CC,JC,1
CC,KR,1
CC,LDC,2
CC,MHA,1
CC,MS,1
CC,ONCE,1
CC,PS,1
CC,QT,1
CC,RG,1
CC,SLJ,1
CC,SMI,2
CC,SSE,1
CC,STS,1
CC,ZB,2
CW,BP,1
CW,CC,1
CW,DB,1
CW,DJANGO,1
CW,ES,1
CW,GA,1
CW,HW,1
CW,INGLOURIOUS,1
CW,LB,1
CW,LDC,1
CW,LP,1
CW,MP,1
CW,MS,1
CW,PS,1
CW,RG,1
CW,SLJ,2
CW,SMI,1
CW,SSE,1
CW,STS,1
CW,ZB,1
DA,DOGS,1
DA,LB,1
DA,MHE,1
DA,MT,1
DA,RG,1
DA,RU,1
DA,RW,1
DA,TR,1
DB,BP,1
DB,BWE,1
DB,CW,1
DB,ES,1
DB,HW,1
DB,INGLOURIOUS,1
DB,LB,1
DB,LP,1
DB,MP,1
DB,SLJ,1
DDV,BW,1
DDV,LB,1
DDV,MD,1
DDV,MS,1
DDV,PULP,1
DDV,RM,1
DDV,SLJ,1
DDV,STS,1
DDV,TR,1
DDV,UT,1
DH,BP,1
DH,CC,1
