id,name,age,sex,type,profession
Birthday,My Best Friend's Birthday,1987,NA,2,movie
BP,Brad Pitt,1963,2,1,actor
BW,Bruce Willis,1955,2,1,actor
BWe,Bob Weinstein,,2,1,executiveprod
CC,Chris Centrella,,2,1,keygrip
CW,Christoph Waltz,66,2,1,actor
DA,Dink Adams,,2,1,bestboygrip
DB,Dieter Bähr,,2,1,keygrip
DDV,Danny DeVito,,2,1,executiveprod
Death,Death Proof,2007,NA,2,movie
DH,David Heyman,,2,1,producer
Django,Django Unchained,2012,NA,2,movie
Dogs,Reservoir Dogs,1992,NA,2,movie
DY,Dong Yu,,2,1,executiveprod
EA,Elizabeth Avellan,,1,1,producer
EBW,E. Bennet Walsh,,2,1,executiveprod
ES,Erica Steinberg,,1,1,executiveprod
FS,Ferrell Shinnick,,2,1,keygrip
GA,Gerald Autin,,2,1,bestboygrip
GC,Gary Chhristie,,2,1,bestboygrip
GF,Greg Fausak,,2,1,bestboygrip
GK,Georgia Kacandes,,1,1,executiveprod
HA,Herb Ault,,2,1,keygrip
Hateful,The Hateful Eight,2015,NA,2,movie
HW,Harvey Weinstein,,2,1,executiveprod
Inglourious,Inglourious Basterds,2009,NA,2,movie
JC,Jeffrey Chan,,2,1,executiveprod
JS,Jim Shelton,,2,1,keygrip
KB1,Kill Bill Vol. 1,2003,NA,2,movie
KB2,Kill Bill Vol. 2,2004,NA,2,movie
KK,Kurt Kornemann,,2,1,bestboygrip
KR,Kurt Russell,72,2,1,actor
LB,Lawrence Bender,,2,1,producer
LDC,Leonardo DiCaprio,48,2,1,actor
LP,Lloyd Phillips,,2,1,executiveprod
MD,Mark Davis,,2,1,keygrip
MHe,Monte Hellman,,2,1,executiveprod
MHa,Mark Hadland,,2,1,bestboygrip
MP,Markus Pluta,,2,1,bestboygrip
MS,Michael Shamberg,,2,1,executiveprod
MT,Miles Thomas,,2,1,bestboygrip
Once,Once Upon a Time in Hollywood,2019,NA,2,movie
PS,Pilar Savone,,1,1,producer
Pulp,Pulp Fiction,1994,NA,2,movie
QT,Quentin Tarantino,,2,1,producer
RC,Richard Caden,,2,1,bestboygrip
RD,Richard Gladstein,,2,1,executiveprod
RH,Reginald Hudlin,,2,1,producer
RM,Robbie Meckler,,2,1,bestboygrip
RR,Robert Rodriguez,,2,1,producer
RU,Ric Urbauer,,2,1,keygrip
RW,Ronna Wallace ,,1,1,executiveprod
SLJ,Samuel L. Jackson,74,2,1,actor
SMI,Shannon McIntosh,,1,1,executiveprod
SSe,Steve Serne,,2,1,bestboygrip
StS,Stacey Sher,,1,1,executiveprod
TR,Tim Roth,62,2,1,actor
UT,Uma Thurman,53,1,1,actor
ZB,Zoe Bell,44,1,1,actor
