from,to,weight
LDC,Django,NA
LDC,Once,NA
LDC,SLJ,2
LDC,CW,1
LDC,ZB,2
LDC,BP,1
LDC,KR,1
SLJ,TR,2
SLJ,Pulp,NA
SLJ,KB1,NA
SLJ,Inglourious,NA
SLJ,Django,NA
SLJ,Hateful,NA
SLJ,CW,2
SLJ,LDC,1
SLJ,BP,1
SLJ,ZB,2
SLJ,UT,2
SLJ,BW,1
SLJ,KR,1
BP,Inglourious,NA
BP,Once,NA
BP,SLJ,1
BP,LDC,1
BP,CW,1
BP,ZB,1
BP,KR,1
CW,Inglourious,NA
CW,Django,NA
CW,SLJ,2
CW,LDC,1
CW,BP,1
CW,ZB,1
TR,Dogs,NA
TR,Pulp,NA
TR,Hateful,NA
TR,SLJ,2
TR,ZB,1
TR,KR,1
TR,UT,1
TR,BW,1
ZB,Death,NA
ZB,Django,NA
ZB,Hateful,NA
ZB,Once,NA
ZB,SLJ,2
ZB,LDC,2
ZB,CW,1
ZB,KR,3
UT,Pulp,NA
UT,KB1,NA
UT,KB2,NA
UT,SLJ,2
UT,TR,1
UT,BW,1
BW,Pulp,NA
BW,SLJ,1
BW,TR,1
BW,UT,1
KR,Death,NA
KR,Hateful,NA
KR,Once,NA
KR,SLJ,1
KR,BP,1
KR,TR,1
KR,LDC,1
KR,ZB,3
